,Club,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,Draws,Points,Rank,Possession,passSuccess
0,Manchester City,27,6,102,72,3.0,673,238,19,10,6,1.0,86,16,1.0,59,16,37,88,61,496,756,8,201.0,531,1.0,1,1,20755,120,1787,3195,892,283,5,86,1,48.1,77.3
1,Liverpool,26,6,101,54,1.0,651,258,27,14,10,5.0,82,19,5.0,78,10,50,107,127,465,848,3,141.0,750,2.0,4,3,19599,191,1895,2959,643,224,6,84,2,53.4,81.1
2,Chelsea,25,6,71,57,2.0,692,229,19,6,5,5.0,54,17,2.0,106,18,27,96,95,380,733,4,71.0,741,2.0,1,1,18266,53,2052,2800,809,248,7,82,3,55.7,85.5
3,Arsenal,24,7,68,53,4.0,523,213,15,12,3,3.0,63,5,4.0,74,17,41,116,101,541,714,14,409.0,703,2.0,6,5,21561,144,1799,3211,753,210,7,79,4,54.8,84.1
4,Everton,21,8,61,55,1.0,561,196,14,6,3,1.0,49,12,1.0,80,15,39,117,130,463,744,9,90.0,672,5.0,6,3,18301,49,2239,2871,848,251,9,72,5,54.3,84.0
5,Tottenham Hotspur,21,11,55,66,0.0,588,192,12,6,5,0.0,45,10,2.0,64,14,51,106,81,560,750,4,0.0,585,2.0,5,3,17926,41,2114,2596,849,230,6,69,6,45.7,78.0
6,Manchester United,19,12,64,66,6.0,526,183,16,10,5,1.0,53,11,3.0,97,13,43,103,108,595,676,4,207.0,856,1.0,4,3,18894,61,2077,2898,1000,216,7,64,7,49.8,79.4
7,Southampton,15,12,54,60,7.0,534,179,16,10,3,1.0,46,8,3.0,97,15,46,85,66,528,805,6,351.0,638,1.0,3,3,19570,80,2395,3121,877,210,11,56,8,47.2,77.1
8,Stoke City,13,14,45,72,3.0,428,137,14,2,4,2.0,31,14,4.0,81,9,52,127,153,474,791,5,382.0,604,6.0,7,5,15324,40,1970,2453,731,164,11,50,9,45.8,76.1
9,Newcastle United,15,19,43,53,2.0,579,182,14,8,2,2.0,35,8,1.0,78,10,59,108,101,601,736,15,268.0,596,3.0,5,5,16087,131,1810,2424,787,190,4,49,10,55.6,84.8
10,Crystal Palace,13,19,33,58,1.0,414,143,9,6,5,1.0,28,5,3.0,71,12,48,119,139,695,845,7,83.0,852,4.0,6,6,11792,19,1904,1752,706,172,6,45,11,54.4,83.2
11,Swansea City,11,18,54,55,5.0,496,161,7,9,4,0.0,45,9,1.0,76,8,54,96,117,644,674,7,176.0,606,3.0,4,4,21113,49,2126,3312,902,226,9,42,12,46.7,77.5
12,West Ham United,11,20,40,62,0.0,422,122,11,5,2,0.0,36,4,0.0,76,14,51,151,199,404,651,12,0.0,820,0.0,6,6,12364,34,2061,2016,951,185,7,40,13,45.9,75.4
13,Sunderland,10,20,41,69,4.0,491,138,10,7,6,1.0,37,4,4.0,70,11,60,160,144,414,702,2,401.0,510,1.0,2,2,14457,41,2092,2254,749,188,8,38,14,44.9,73.2
14,Aston Villa,10,20,39,78,1.0,431,135,11,10,2,2.0,33,6,4.0,84,9,61,110,126,460,747,4,48.0,487,4.0,6,5,13856,30,2298,2231,749,163,8,38,15,55.7,85.5
15,Hull City,10,21,38,53,1.0,427,132,16,10,2,5.0,30,8,9.0,86,10,53,106,146,616,723,4,110.0,588,6.0,4,3,15264,22,2178,2431,853,160,7,37,16,41.1,70.2
16,West Bromwich Albion,7,16,43,67,0.0,487,146,6,6,2,0.0,35,8,0.0,91,7,59,114,125,595,701,1,0.0,712,1.0,7,5,14704,41,1942,2036,834,187,15,36,17,46.3,75.9
17,Norwich City,8,21,28,62,5.0,467,148,15,7,1,2.0,19,9,2.0,48,12,62,125,154,529,675,4,339.0,472,1.0,4,4,14747,58,2105,2264,818,197,9,33,18,44.2,73.1
18,Fulham,9,24,40,58,4.0,431,149,11,7,2,6.0,31,9,2.0,86,5,85,154,182,499,702,4,103.0,779,2.0,4,4,14674,32,2180,2329,708,194,5,32,19,56.5,81.1
19,Cardiff,7,22,32,49,3.0,418,124,10,9,1,1.0,28,4,5.0,81,7,74,157,178,491,619,4,68.0,702,2.0,2,2,14007,35,2047,2195,792,196,9,30,20,53.9,82.7
